전통주명,가격,용량,주종,도수,단맛,신맛,바디감,청량감,잘 어울리는 음식,주원료,제조사,유형
희양산 막걸리 9도,"8,000",750ml,탁주,9,2,3,3,2,고기류,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가,3
오메기술,"13,000",375ml,약주,13,2,2,3,1,"고사리 무침, 전","백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",제주샘주,1
"코이버펑크, 머스캣 베일리 에","65,000",750ml,과실주,12,3,3,4,3,"고추장, 된장",와이너리 재배 포도 100%,,4
다랭이팜 생막걸리,"4,000",750ml,과실주,6,1,5,2,2,골뱅이 무침,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜,3
백자주,"18,000",500ml,탁주,10,3,3,3,2,"골뱅이무침, 소라무침","국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수,4
기다림 맑은술,"25,000",500ml,약주,15,4,3,3,3,"곱창 전골, 연포탕","국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,4
지리산 정담 생쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,2,과일 샐러드,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조,3
밤꽃향기,"4,000",375ml,약주,13.5,5,2,2,2,"구운 밤, 공주국밥","국내산 쌀, 밤, 누룩, 정제수",사곡양조장,2
서주 16%,"45,000",400ml,약주,16,3,2,3,3,기름진 감자전,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조,4
나루 생 막걸리 6도,"7,000",935ml,탁주,6,3,3,2,2,기름진 고기,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,4
천안연미주,"5,000",375ml,약주,13,2,3,2,4,기름진 음식,국내산 쌀,입장주조㈜,4
편백숲 산소막걸리 딸기 스파클링,"41,000",940ml,탁주,6.8,3,2,3,5,기름진 음식(수육),"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수,4
